"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 20, 2019","563.71","564.72","566.67","563.71","74.73M","0.40%"
"Jun 19, 2019","561.45","560.88","561.82","559.56","69.08M","0.22%"
"Jun 18, 2019","560.21","551.65","561.69","548.28","85.97M","1.44%"
"Jun 17, 2019","552.28","554.05","555.30","551.17","49.69M","-0.17%"
"Jun 14, 2019","553.24","553.75","554.13","550.24","58.08M","-0.47%"
"Jun 13, 2019","555.85","554.77","557.57","554.14","60.47M","-0.05%"
"Jun 12, 2019","556.13","554.53","557.48","554.53","65.82M","-0.20%"
"Jun 11, 2019","557.22","554.60","559.40","554.42","78.72M","0.69%"
"Jun 10, 2019","553.40","552.45","554.28","551.72","38.91M","0.57%"
"Jun 07, 2019","550.24","545.99","552.52","545.99","68.79M","1.09%"
"Jun 06, 2019","544.32","544.37","548.48","542.79","78.92M","0.13%"
"Jun 05, 2019","543.64","542.11","545.69","541.42","74.62M","0.46%"
"Jun 04, 2019","541.15","537.54","542.25","536.24","94.44M","0.08%"
"Jun 03, 2019","540.72","535.90","540.72","534.49","72.99M","0.04%"
"May 31, 2019","540.49","540.50","540.91","537.48","68.92M","-0.91%"
"May 30, 2019","545.43","543.06","546.89","543.00","45.17M","0.84%"
"May 29, 2019","540.87","544.19","544.34","539.58","68.87M","-1.50%"
"May 28, 2019","549.10","549.87","551.33","546.81","101.79M","-0.02%"
"May 27, 2019","549.22","549.79","551.41","547.97","26.11M","0.37%"
"May 24, 2019","547.21","545.83","549.49","545.18","62.76M","0.64%"
"May 23, 2019","543.71","547.84","548.85","542.98","76.40M","-1.67%"
"May 22, 2019","552.97","552.40","554.42","548.75","58.30M","-0.03%"
"May 21, 2019","553.14","553.31","555.44","551.58","63.96M","0.32%"
"May 20, 2019","551.37","556.76","558.69","549.36","65.77M","-1.17%"
"May 17, 2019","557.91","556.77","558.86","554.40","65.96M","-0.22%"
"May 16, 2019","559.15","550.98","559.15","549.37","69.34M","1.10%"
"May 15, 2019","553.08","551.55","553.08","546.00","82.09M","0.44%"
"May 14, 2019","550.65","545.97","550.65","544.73","66.22M","1.17%"
"May 13, 2019","544.27","551.21","551.21","543.58","69.00M","-1.20%"
"May 10, 2019","550.87","553.46","554.81","549.55","65.06M","0.23%"
"May 09, 2019","549.59","555.08","556.54","548.41","72.96M","-1.67%"
"May 08, 2019","558.93","555.86","559.82","554.64","76.99M","0.37%"
"May 07, 2019","556.86","563.63","566.38","556.12","81.71M","-1.22%"
"May 06, 2019","563.75","560.91","563.89","557.69","54.39M","-0.87%"
"May 03, 2019","568.72","567.39","571.11","566.45","50.36M","0.39%"
"May 02, 2019","566.51","568.87","569.54","566.06","77.28M","-0.89%"
"Apr 30, 2019","571.60","567.47","571.60","567.19","76.64M","0.63%"
"Apr 29, 2019","568.01","567.59","568.94","565.32","58.84M","0.15%"
"Apr 26, 2019","567.18","565.92","567.71","564.66","76.92M","-0.07%"
"Apr 25, 2019","567.59","567.04","568.62","565.00","65.82M","-0.14%"
"Apr 24, 2019","568.41","569.32","570.36","567.21","83.29M","-0.39%"
"Apr 23, 2019","570.64","568.83","570.93","567.50","80.11M","0.18%"
"Apr 18, 2019","569.61","565.35","571.91","565.35","82.16M","0.60%"
"Apr 17, 2019","566.19","565.89","568.28","564.93","87.03M","0.18%"
"Apr 16, 2019","565.19","562.77","565.83","562.50","66.93M","0.47%"
"Apr 15, 2019","562.57","562.39","563.85","561.28","58.37M","0.17%"
"Apr 12, 2019","561.61","560.51","562.16","559.44","88.91M","-0.04%"
"Apr 11, 2019","561.83","561.01","563.35","558.88","72.76M","-0.00%"
"Apr 10, 2019","561.85","559.85","562.25","559.67","73.61M","0.39%"
"Apr 09, 2019","559.66","561.71","564.33","559.55","61.39M","-0.47%"
"Apr 08, 2019","562.32","562.01","563.72","561.16","56.55M","-0.05%"
"Apr 05, 2019","562.58","561.92","563.37","561.35","60.12M","0.18%"
"Apr 04, 2019","561.55","560.46","562.46","559.70","51.21M","0.04%"
"Apr 03, 2019","561.35","559.26","561.59","558.63","76.20M","0.97%"
"Apr 02, 2019","555.94","554.62","557.33","554.59","68.88M","0.32%"
"Apr 01, 2019","554.14","552.89","554.78","552.01","68.90M","0.94%"
"Mar 29, 2019","548.98","547.36","549.01","546.08","77.61M","0.97%"
"Mar 28, 2019","543.71","544.41","546.92","543.32","59.34M","-0.26%"
"Mar 27, 2019","545.14","545.49","547.61","542.09","84.46M","-0.04%"
"Mar 26, 2019","545.37","543.17","546.86","541.10","66.56M","0.78%"
"Mar 25, 2019","541.16","540.55","543.27","538.70","71.09M","-0.50%"
"Mar 22, 2019","543.90","551.84","552.44","543.10","87.18M","-1.18%"
"Mar 21, 2019","550.39","548.38","551.45","546.86","67.52M","0.54%"
"Mar 20, 2019","547.42","551.31","552.07","547.42","71.76M","-0.95%"
"Mar 19, 2019","552.65","552.38","555.55","552.11","66.91M","0.08%"
"Mar 18, 2019","552.23","551.86","552.92","550.71","73.61M","0.01%"
"Mar 15, 2019","552.18","544.61","552.53","544.42","198.89M","1.47%"
"Mar 14, 2019","544.19","539.96","545.94","539.96","78.28M","0.91%"
"Mar 13, 2019","539.26","534.34","540.04","534.27","74.71M","0.72%"
"Mar 12, 2019","535.41","537.84","537.99","533.64","75.17M","0.01%"
"Mar 11, 2019","535.38","533.11","535.90","531.84","70.13M","0.91%"
"Mar 08, 2019","530.55","533.06","533.97","529.72","100.77M","-1.14%"
"Mar 07, 2019","536.68","537.39","541.07","534.29","111.16M","-0.42%"
"Mar 06, 2019","538.95","540.19","540.57","537.43","96.16M","-0.40%"
"Mar 05, 2019","541.12","540.81","542.41","537.92","123.18M","0.06%"
"Mar 04, 2019","540.77","540.71","542.83","539.55","65.41M","0.40%"
