"Date","Price","Open","High","Low","Change %"
"Jun 20, 2019","0.2605","0.2605","0.2605","0.2604","0.00%"
"Jun 19, 2019","0.2605","0.2590","0.2605","0.2574","0.54%"
"Jun 18, 2019","0.2591","0.2571","0.2599","0.2571","0.74%"
"Jun 17, 2019","0.2572","0.2565","0.2577","0.2547","0.25%"
"Jun 16, 2019","0.2566","0.2566","0.2566","0.2566","0.00%"
"Jun 14, 2019","0.2566","0.2599","0.2600","0.2555","-1.23%"
"Jun 13, 2019","0.2598","0.2586","0.2608","0.2586","0.46%"
"Jun 12, 2019","0.2586","0.2592","0.2611","0.2582","-0.23%"
"Jun 11, 2019","0.2592","0.2574","0.2602","0.2574","0.74%"
"Jun 10, 2019","0.2573","0.2579","0.2586","0.2564","-0.19%"
"Jun 07, 2019","0.2578","0.2579","0.2598","0.2574","0.04%"
"Jun 06, 2019","0.2577","0.2576","0.2594","0.2572","0.00%"
"Jun 05, 2019","0.2577","0.2592","0.2606","0.2561","-0.69%"
"Jun 04, 2019","0.2595","0.2572","0.2600","0.2571","0.82%"
"Jun 03, 2019","0.2574","0.2549","0.2576","0.2541","0.98%"
"Jun 02, 2019","0.2549","0.2549","0.2549","0.2549","-0.04%"
"May 31, 2019","0.2550","0.2512","0.2559","0.2500","1.55%"
"May 30, 2019","0.2511","0.2516","0.2530","0.2504","-0.20%"
"May 29, 2019","0.2516","0.2484","0.2520","0.2474","1.25%"
"May 28, 2019","0.2485","0.2473","0.2493","0.2467","0.44%"
"May 27, 2019","0.2474","0.2492","0.2498","0.2474","-0.48%"
"May 24, 2019","0.2486","0.2475","0.2495","0.2471","0.44%"
"May 23, 2019","0.2475","0.2475","0.2485","0.2457","0.00%"
"May 22, 2019","0.2475","0.2475","0.2495","0.2467","-0.04%"
"May 21, 2019","0.2476","0.2441","0.2479","0.2431","1.43%"
"May 20, 2019","0.2441","0.2438","0.2452","0.2425","0.04%"
"May 17, 2019","0.2440","0.2470","0.2470","0.2432","-1.25%"
"May 16, 2019","0.2471","0.2499","0.2503","0.2466","-1.12%"
"May 15, 2019","0.2499","0.2515","0.2516","0.2486","-0.64%"
"May 14, 2019","0.2515","0.2504","0.2521","0.2504","0.44%"
"May 13, 2019","0.2504","0.2515","0.2518","0.2498","-0.91%"
