"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2019","6,453.84","6,413.08","6,476.05","6,413.08","168.24M","0.64%"
"Feb 28, 2019","6,413.09","6,383.60","6,418.98","6,362.09","203.34M","0.46%"
"Feb 27, 2019","6,383.60","6,399.82","6,399.82","6,368.07","182.20M","-0.25%"
"Feb 26, 2019","6,399.82","6,394.10","6,409.68","6,354.23","161.51M","0.09%"
"Feb 25, 2019","6,394.10","6,374.67","6,406.06","6,374.67","153.16M","0.30%"
"Feb 22, 2019","6,374.82","6,353.52","6,384.74","6,345.32","176.80M","0.34%"
"Feb 21, 2019","6,353.52","6,352.67","6,366.58","6,337.17","226.36M","0.01%"
"Feb 20, 2019","6,352.69","6,317.68","6,359.97","6,316.88","148.33M","0.55%"
"Feb 19, 2019","6,317.69","6,329.72","6,338.84","6,295.27","130.16M","-0.19%"
"Feb 18, 2019","6,329.72","6,302.04","6,330.38","6,298.46","121.74M","0.44%"
"Feb 15, 2019","6,302.02","6,217.83","6,313.33","6,208.27","180.22M","1.35%"
"Feb 14, 2019","6,217.84","6,230.46","6,282.12","6,217.84","160.08M","-0.20%"
"Feb 13, 2019","6,230.46","6,197.94","6,248.60","6,197.94","157.13M","0.52%"
"Feb 12, 2019","6,197.94","6,150.62","6,214.73","6,150.62","148.39M","0.77%"
"Feb 11, 2019","6,150.62","6,089.86","6,159.23","6,089.86","136.34M","1.00%"
"Feb 08, 2019","6,089.87","6,129.39","6,145.93","6,077.10","174.46M","-0.64%"
"Feb 07, 2019","6,129.39","6,235.33","6,239.35","6,129.39","189.19M","-1.70%"
"Feb 06, 2019","6,235.33","6,245.92","6,245.92","6,220.07","157.73M","-0.17%"
"Feb 05, 2019","6,245.92","6,136.34","6,245.92","6,133.87","165.63M","1.79%"
"Feb 04, 2019","6,136.34","6,156.78","6,157.95","6,108.40","136.20M","-0.33%"
"Feb 01, 2019","6,156.78","6,123.28","6,160.94","6,120.08","153.36M","0.55%"
"Jan 31, 2019","6,123.28","6,112.41","6,151.36","6,085.27","206.76M","0.18%"
"Jan 30, 2019","6,112.41","6,048.17","6,114.84","6,048.17","133.01M","1.06%"
"Jan 29, 2019","6,048.17","6,009.43","6,068.45","5,995.92","142.90M","0.65%"
"Jan 28, 2019","6,009.09","6,036.52","6,039.30","5,998.59","156.74M","-0.73%"
"Jan 25, 2019","6,053.38","6,011.23","6,057.39","6,011.23","160.29M","1.08%"
"Jan 24, 2019","5,988.47","5,957.53","6,002.51","5,948.86","140.55M","0.50%"
"Jan 23, 2019","5,958.62","5,955.14","5,994.02","5,931.09","132.54M","-0.14%"
"Jan 22, 2019","5,966.71","5,973.51","5,987.92","5,943.86","117.86M","-0.32%"
"Jan 21, 2019","5,986.12","5,987.05","5,989.54","5,972.95","96.50M","-0.05%"
"Jan 18, 2019","5,988.93","5,910.16","5,992.81","5,910.16","171.17M","1.72%"
"Jan 17, 2019","5,887.39","5,883.31","5,895.19","5,860.95","138.96M","-0.16%"
"Jan 16, 2019","5,896.94","5,885.15","5,903.05","5,872.01","142.20M","0.49%"
"Jan 15, 2019","5,868.43","5,869.53","5,911.34","5,840.06","143.84M","0.39%"
"Jan 14, 2019","5,845.38","5,855.78","5,857.04","5,814.63","126.96M","-0.67%"
"Jan 11, 2019","5,885.04","5,913.57","5,923.70","5,860.45","143.21M","-0.31%"
"Jan 10, 2019","5,903.58","5,887.38","5,903.58","5,853.04","152.89M","0.00%"
"Jan 09, 2019","5,903.29","5,875.69","5,937.96","5,875.69","190.65M","0.97%"
"Jan 08, 2019","5,846.75","5,770.57","5,887.54","5,770.57","173.18M","1.35%"
