"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 20, 2019","6,726.44","6,715.59","6,770.73","6,715.59","198.41M","0.16%"
"Jun 19, 2019","6,715.59","6,708.96","6,721.13","6,691.76","162.99M","0.10%"
"Jun 18, 2019","6,708.96","6,570.93","6,714.29","6,549.67","200.39M","2.10%"
"Jun 17, 2019","6,570.93","6,545.78","6,589.15","6,545.78","114.36M","0.38%"
"Jun 14, 2019","6,545.78","6,564.50","6,564.50","6,519.87","125.78M","-0.29%"
"Jun 13, 2019","6,564.49","6,565.56","6,584.48","6,544.12","136.48M","-0.02%"
"Jun 12, 2019","6,565.59","6,608.62","6,608.62","6,545.51","137.59M","-0.65%"
"Jun 11, 2019","6,608.64","6,575.86","6,636.68","6,575.86","156.71M","0.50%"
"Jun 10, 2019","6,575.86","6,552.90","6,594.43","6,552.90","87.12M","0.35%"
"Jun 07, 2019","6,552.91","6,453.64","6,578.16","6,453.64","152.76M","1.54%"
"Jun 06, 2019","6,453.64","6,477.53","6,523.31","6,440.10","166.72M","-0.37%"
"Jun 05, 2019","6,477.53","6,430.76","6,494.42","6,430.76","156.62M","0.73%"
"Jun 04, 2019","6,430.75","6,405.80","6,442.77","6,342.77","186.62M","0.39%"
"Jun 03, 2019","6,405.80","6,380.20","6,405.80","6,311.55","152.05M","0.40%"
"May 31, 2019","6,380.19","6,424.68","6,424.68","6,322.33","167.60M","-0.69%"
"May 30, 2019","6,424.68","6,383.72","6,431.77","6,383.72","98.78M","0.64%"
"May 29, 2019","6,383.72","6,479.81","6,479.81","6,367.33","168.92M","-1.48%"
"May 28, 2019","6,479.93","6,498.98","6,519.06","6,465.76","229.60M","-0.29%"
"May 27, 2019","6,498.99","6,476.54","6,532.95","6,476.54","95.60M","0.35%"
"May 24, 2019","6,476.51","6,441.68","6,502.01","6,441.68","159.37M","0.54%"
"May 23, 2019","6,441.60","6,558.03","6,558.03","6,433.10","175.43M","-1.78%"
"May 22, 2019","6,558.03","6,565.23","6,585.49","6,520.70","137.54M","-0.11%"
"May 21, 2019","6,565.22","6,526.46","6,575.02","6,519.30","135.62M","0.59%"
"May 20, 2019","6,526.45","6,631.62","6,631.62","6,498.68","153.48M","-1.59%"
"May 17, 2019","6,631.61","6,645.71","6,645.71","6,587.83","170.55M","-0.21%"
"May 16, 2019","6,645.76","6,563.82","6,645.76","6,535.93","153.10M","1.25%"
"May 15, 2019","6,564.01","6,525.37","6,564.02","6,474.04","186.37M","0.59%"
"May 14, 2019","6,525.35","6,426.49","6,525.35","6,426.49","156.66M","1.54%"
"May 13, 2019","6,426.48","6,517.81","6,521.80","6,410.13","160.09M","-1.40%"
"May 10, 2019","6,517.81","6,501.43","6,573.09","6,501.43","142.10M","0.25%"
"May 09, 2019","6,501.45","6,626.54","6,626.54","6,493.67","165.68M","-1.89%"
"May 08, 2019","6,626.53","6,601.37","6,634.91","6,582.45","139.45M","0.38%"
"May 07, 2019","6,601.37","6,690.90","6,702.94","6,590.85","177.19M","-1.34%"
"May 06, 2019","6,690.91","6,773.77","6,773.77","6,624.49","153.28M","-1.23%"
"May 03, 2019","6,774.03","6,766.31","6,786.79","6,760.70","139.65M","0.11%"
"May 02, 2019","6,766.31","6,815.82","6,815.82","6,763.90","184.25M","-0.73%"
"Apr 30, 2019","6,815.82","6,814.73","6,815.82","6,786.11","190.99M","0.02%"
"Apr 29, 2019","6,814.73","6,797.27","6,828.64","6,778.39","133.16M","0.26%"
"Apr 26, 2019","6,797.17","6,781.08","6,798.08","6,764.57","153.90M","0.24%"
"Apr 25, 2019","6,781.11","6,823.98","6,823.98","6,762.35","149.60M","-0.63%"
"Apr 24, 2019","6,823.96","6,825.02","6,841.33","6,802.21","162.62M","-0.02%"
"Apr 23, 2019","6,825.02","6,814.07","6,829.93","6,791.95","170.40M","0.16%"
"Apr 18, 2019","6,814.08","6,797.09","6,832.64","6,754.60","173.23M","0.25%"
"Apr 17, 2019","6,797.07","6,762.15","6,804.56","6,754.13","178.08M","0.52%"
"Apr 16, 2019","6,762.16","6,732.90","6,764.83","6,730.35","145.30M","0.43%"
"Apr 15, 2019","6,732.89","6,725.72","6,747.20","6,723.41","133.53M","0.11%"
"Apr 12, 2019","6,725.71","6,699.21","6,729.19","6,689.72","152.34M","0.40%"
"Apr 11, 2019","6,699.02","6,644.66","6,712.46","6,644.66","138.68M","0.82%"
"Apr 10, 2019","6,644.53","6,625.26","6,656.13","6,624.78","133.29M","0.29%"
"Apr 09, 2019","6,625.26","6,675.23","6,693.78","6,625.15","137.38M","-0.75%"
"Apr 08, 2019","6,675.23","6,688.79","6,693.94","6,666.98","116.04M","-0.20%"
"Apr 05, 2019","6,688.78","6,673.92","6,701.56","6,673.92","141.09M","0.22%"
"Apr 04, 2019","6,673.95","6,686.37","6,686.37","6,661.44","125.34M","-0.19%"
"Apr 03, 2019","6,686.38","6,627.39","6,686.38","6,627.39","163.29M","0.89%"
"Apr 02, 2019","6,627.39","6,603.56","6,636.23","6,603.48","134.53M","0.36%"
"Apr 01, 2019","6,603.55","6,525.41","6,607.87","6,525.41","142.84M","1.20%"
"Mar 29, 2019","6,525.40","6,460.38","6,531.15","6,460.38","153.46M","1.01%"
"Mar 28, 2019","6,460.36","6,469.72","6,501.94","6,457.46","130.81M","-0.14%"
"Mar 27, 2019","6,469.71","6,473.08","6,512.06","6,447.55","160.56M","-0.04%"
"Mar 26, 2019","6,472.25","6,417.53","6,480.24","6,415.91","117.90M","0.85%"
"Mar 25, 2019","6,417.53","6,436.54","6,436.54","6,359.67","143.15M","-0.30%"
"Mar 22, 2019","6,436.67","6,562.64","6,585.31","6,431.60","188.18M","-1.92%"
"Mar 21, 2019","6,562.64","6,567.07","6,576.69","6,526.92","135.29M","-0.07%"
"Mar 20, 2019","6,567.08","6,621.61","6,625.20","6,567.08","138.32M","-0.82%"
"Mar 19, 2019","6,621.61","6,594.57","6,636.27","6,591.90","117.98M","0.41%"
"Mar 18, 2019","6,594.57","6,590.14","6,603.39","6,583.32","120.40M","0.07%"
"Mar 15, 2019","6,590.10","6,531.25","6,609.30","6,531.25","312.30M","0.90%"
"Mar 14, 2019","6,531.25","6,474.19","6,537.81","6,474.19","150.57M","0.88%"
"Mar 13, 2019","6,474.18","6,440.42","6,476.19","6,431.55","127.21M","0.52%"
"Mar 12, 2019","6,440.42","6,427.98","6,458.74","6,413.52","138.75M","0.19%"
"Mar 11, 2019","6,427.97","6,391.58","6,428.63","6,386.97","123.79M","0.57%"
"Mar 08, 2019","6,391.58","6,432.32","6,432.32","6,376.86","171.29M","-0.63%"
"Mar 07, 2019","6,432.39","6,461.13","6,473.85","6,413.56","166.86M","-0.44%"
"Mar 06, 2019","6,460.99","6,483.15","6,491.18","6,454.76","136.03M","-0.34%"
"Mar 05, 2019","6,483.15","6,479.72","6,486.35","6,452.37","134.93M","0.05%"
"Mar 04, 2019","6,479.74","6,453.84","6,506.38","6,453.84","131.91M","0.40%"
