"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2019","12,786.26","12,691.46","12,796.80","12,687.98","50.84M","1.11%"
"Feb 28, 2019","12,645.48","12,514.24","12,645.48","12,505.83","50.02M","1.21%"
"Feb 27, 2019","12,493.92","12,420.98","12,504.49","12,412.03","44.33M","0.36%"
"Feb 26, 2019","12,449.11","12,407.50","12,465.48","12,398.08","53.73M","-0.14%"
"Feb 25, 2019","12,466.96","12,499.85","12,512.69","12,454.59","49.82M","0.06%"
"Feb 22, 2019","12,458.88","12,430.44","12,485.99","12,430.44","60.59M","0.19%"
"Feb 21, 2019","12,434.72","12,448.58","12,461.23","12,416.91","94.72M","0.07%"
"Feb 20, 2019","12,425.94","12,394.58","12,444.78","12,386.96","45.22M","0.35%"
"Feb 19, 2019","12,382.86","12,405.54","12,419.75","12,331.80","39.09M","-0.22%"
"Feb 18, 2019","12,410.72","12,285.44","12,417.36","12,285.44","40.34M","1.11%"
"Feb 15, 2019","12,275.07","12,147.58","12,289.13","12,122.67","41.50M","1.07%"
"Feb 14, 2019","12,145.13","12,153.10","12,231.56","12,135.27","44.44M","0.34%"
"Feb 13, 2019","12,104.12","12,046.19","12,132.26","12,044.01","42.82M","0.88%"
"Feb 12, 2019","11,998.31","11,983.35","12,016.33","11,966.34","47.61M","0.69%"
"Feb 11, 2019","11,916.13","11,876.87","11,935.45","11,871.28","47.97M","0.79%"
"Feb 08, 2019","11,822.58","11,952.45","11,956.41","11,817.37","51.21M","-1.51%"
"Feb 07, 2019","12,004.32","12,207.66","12,216.51","12,004.32","54.94M","-1.84%"
"Feb 06, 2019","12,229.94","12,281.09","12,304.40","12,229.68","50.12M","-0.55%"
"Feb 05, 2019","12,297.51","12,135.42","12,297.51","12,115.61","56.79M","1.63%"
"Feb 04, 2019","12,100.72","12,123.78","12,136.63","12,068.37","45.77M","-0.03%"
"Feb 01, 2019","12,104.35","12,119.18","12,138.98","12,084.42","51.05M","0.20%"
"Jan 31, 2019","12,080.63","12,164.38","12,213.30","12,045.78","74.32M","-0.13%"
"Jan 30, 2019","12,096.00","12,092.26","12,115.96","12,049.55","42.22M","0.15%"
"Jan 29, 2019","12,078.02","12,030.18","12,100.46","12,015.26","52.07M","0.57%"
"Jan 28, 2019","12,009.73","12,106.05","12,128.87","12,009.73","70.90M","-0.92%"
"Jan 25, 2019","12,121.17","12,074.70","12,146.63","12,065.62","52.54M","0.88%"
"Jan 24, 2019","12,015.30","11,980.74","12,057.45","11,967.91","35.31M","0.45%"
"Jan 23, 2019","11,961.61","11,934.43","12,029.11","11,932.19","30.22M","-0.39%"
"Jan 22, 2019","12,008.83","12,012.21","12,055.51","11,974.13","28.87M","-0.22%"
"Jan 21, 2019","12,035.83","12,037.87","12,042.25","11,991.69","26.54M","0.04%"
"Jan 18, 2019","12,030.58","11,887.17","12,030.63","11,887.17","38.31M","1.88%"
"Jan 17, 2019","11,808.02","11,749.33","11,832.22","11,734.08","35.13M","-0.06%"
"Jan 16, 2019","11,815.57","11,734.18","11,816.05","11,734.18","36.93M","1.21%"
"Jan 15, 2019","11,674.02","11,803.59","11,817.01","11,649.56","35.70M","-0.06%"
"Jan 14, 2019","11,681.00","11,776.56","11,782.72","11,640.11","38.54M","-1.38%"
"Jan 11, 2019","11,844.93","11,913.41","11,913.41","11,820.64","43.94M","-0.19%"
"Jan 10, 2019","11,867.46","11,775.26","11,867.46","11,732.48","52.44M","0.35%"
"Jan 09, 2019","11,826.11","11,756.57","11,881.40","11,730.19","70.53M","1.38%"
"Jan 08, 2019","11,665.32","11,491.81","11,719.06","11,487.67","50.21M","1.77%"
"Jan 07, 2019","11,461.88","11,448.56","11,462.26","11,358.00","48.38M","0.81%"
"Jan 04, 2019","11,370.21","11,220.63","11,380.80","11,158.41","64.38M","2.44%"
"Jan 03, 2019","11,099.08","11,163.48","11,229.70","11,080.93","53.02M","-1.43%"
"Jan 02, 2019","11,260.22","11,213.59","11,274.71","11,072.69","55.67M","-0.68%"
"Dec 31, 2018","11,337.41","11,198.00","11,344.16","11,198.00","34.27M","1.72%"
"Dec 28, 2018","11,145.97","10,994.66","11,196.85","10,977.69","42.46M","2.03%"
"Dec 27, 2018","10,924.10","11,144.00","11,178.97","10,877.03","59.25M","-0.76%"
"Dec 24, 2018","11,008.22","10,990.95","11,031.89","10,988.91","26.98M","-0.38%"
"Dec 21, 2018","11,049.68","11,039.90","11,102.20","10,987.71","76.44M","-0.11%"
"Dec 20, 2018","11,061.63","11,151.76","11,190.74","11,061.62","64.67M","-2.47%"
"Dec 19, 2018","11,341.84","11,355.00","11,385.62","11,334.37","54.62M","-0.30%"
"Dec 18, 2018","11,375.72","11,436.76","11,476.70","11,375.72","55.46M","-0.99%"
"Dec 17, 2018","11,489.32","11,619.13","11,641.46","11,463.41","44.43M","-1.38%"
"Dec 14, 2018","11,649.56","11,671.49","11,671.80","11,568.82","44.12M","-1.10%"
"Dec 13, 2018","11,778.84","11,857.28","11,868.95","11,732.63","56.02M","-0.16%"
"Dec 12, 2018","11,797.32","11,588.69","11,813.67","11,566.49","49.11M","2.21%"
"Dec 11, 2018","11,541.74","11,487.64","11,625.95","11,446.07","53.44M","1.33%"
"Dec 10, 2018","11,389.94","11,607.27","11,615.30","11,385.88","59.90M","-2.47%"
"Dec 07, 2018","11,678.14","11,749.18","11,835.96","11,678.14","54.96M","0.30%"
"Dec 06, 2018","11,643.79","11,921.14","11,922.37","11,620.87","64.36M","-3.45%"
"Dec 05, 2018","12,060.16","12,044.70","12,116.46","12,019.88","48.30M","-1.26%"
"Dec 04, 2018","12,214.05","12,341.82","12,347.46","12,212.78","45.73M","-1.48%"
"Dec 03, 2018","12,397.86","12,527.50","12,557.23","12,386.74","47.77M","0.61%"
"Nov 30, 2018","12,323.06","12,422.99","12,424.75","12,305.24","56.69M","-0.87%"
"Nov 29, 2018","12,430.73","12,475.89","12,541.88","12,400.25","56.16M","0.59%"
"Nov 28, 2018","12,358.24","12,354.27","12,372.65","12,298.00","64.59M","0.29%"
"Nov 27, 2018","12,322.10","12,271.37","12,339.40","12,209.97","76.54M","0.40%"
"Nov 26, 2018","12,272.60","12,158.57","12,272.60","12,156.17","58.84M","1.75%"
"Nov 23, 2018","12,061.49","12,006.94","12,065.33","11,996.08","52.99M","0.57%"
"Nov 22, 2018","11,992.65","12,017.44","12,027.38","11,933.25","53.26M","-0.34%"
"Nov 21, 2018","12,033.82","12,001.11","12,043.16","11,947.88","69.91M","0.88%"
"Nov 20, 2018","11,928.83","12,074.13","12,102.99","11,886.09","80.02M","-2.01%"
"Nov 19, 2018","12,173.96","12,334.33","12,414.58","12,166.52","106.93M","-1.20%"
"Nov 16, 2018","12,322.32","12,487.99","12,532.63","12,256.28","92.06M","-0.86%"
"Nov 15, 2018","12,429.32","12,656.15","12,713.62","12,376.76","45.90M","-1.46%"
"Nov 14, 2018","12,614.02","12,538.39","12,710.14","12,487.13","53.01M","-0.02%"
"Nov 13, 2018","12,616.53","12,605.36","12,678.11","12,531.72","53.47M","0.14%"
"Nov 12, 2018","12,598.55","12,877.63","12,879.07","12,595.26","61.15M","-1.71%"
"Nov 09, 2018","12,817.93","12,917.42","12,917.42","12,802.30","65.60M","-1.56%"
"Nov 08, 2018","13,021.29","13,062.34","13,136.28","12,999.78","63.93M","0.16%"
"Nov 07, 2018","13,000.62","12,912.59","13,058.58","12,912.59","71.62M","1.09%"
"Nov 06, 2018","12,860.99","12,925.70","12,930.60","12,828.19","38.34M","-0.22%"
"Nov 05, 2018","12,889.89","12,977.51","12,987.34","12,882.21","51.65M","-0.73%"
"Nov 02, 2018","12,984.19","13,126.45","13,132.56","12,975.27","47.90M","0.51%"
"Nov 01, 2018","12,918.14","12,846.46","12,997.82","12,846.46","40.50M","0.47%"
"Oct 31, 2018","12,857.91","12,790.56","12,905.28","12,754.14","59.01M","1.74%"
"Oct 30, 2018","12,638.41","12,617.71","12,660.89","12,543.62","44.56M","0.08%"
"Oct 29, 2018","12,628.47","12,503.39","12,727.22","12,495.41","45.60M","0.99%"
"Oct 26, 2018","12,504.48","12,486.39","12,526.58","12,377.64","70.99M","-0.88%"
"Oct 25, 2018","12,615.59","12,377.00","12,660.10","12,366.83","61.88M","0.94%"
"Oct 24, 2018","12,498.68","12,585.79","12,679.14","12,498.51","48.80M","0.02%"
"Oct 23, 2018","12,495.96","12,619.74","12,622.93","12,480.73","60.16M","-2.17%"
"Oct 22, 2018","12,773.72","12,965.58","12,988.70","12,766.76","30.17M","-0.85%"
"Oct 19, 2018","12,882.66","13,010.12","13,028.54","12,797.84","43.62M","-1.36%"
"Oct 18, 2018","13,060.26","13,110.14","13,203.00","13,056.18","41.24M","-0.24%"
"Oct 17, 2018","13,091.57","13,163.19","13,235.97","13,054.56","37.19M","0.04%"
"Oct 16, 2018","13,086.88","12,786.62","13,086.88","12,786.12","35.65M","2.35%"
"Oct 15, 2018","12,785.83","12,853.55","12,859.15","12,739.29","37.47M","-0.66%"
"Oct 12, 2018","12,871.12","12,962.84","12,975.65","12,839.20","44.98M","0.46%"
"Oct 11, 2018","12,811.55","12,776.74","12,911.17","12,735.17","68.33M","-1.66%"
"Oct 10, 2018","13,028.39","13,302.75","13,303.17","13,028.39","47.90M","-2.08%"
"Oct 09, 2018","13,304.92","13,362.66","13,399.89","13,220.73","43.47M","-0.61%"
"Oct 08, 2018","13,387.19","13,516.98","13,531.49","13,342.83","50.94M","-1.26%"
"Oct 05, 2018","13,558.05","13,704.38","13,710.64","13,551.35","44.41M","-1.22%"
"Oct 04, 2018","13,725.31","13,888.71","13,888.71","13,710.20","47.35M","-1.21%"
"Oct 03, 2018","13,893.21","13,914.31","13,925.48","13,883.30","53.80M","0.36%"
"Oct 02, 2018","13,843.86","13,942.74","13,942.74","13,818.26","32.98M","-0.97%"
"Oct 01, 2018","13,979.34","13,998.69","14,044.37","13,978.25","38.06M","0.12%"
"Sep 28, 2018","13,962.25","13,997.01","13,997.82","13,873.57","42.43M","-0.35%"
"Sep 27, 2018","14,011.81","14,039.10","14,041.46","13,984.10","36.76M","-0.12%"
"Sep 26, 2018","14,028.56","14,056.45","14,056.45","14,002.65","43.46M","-0.14%"
"Sep 25, 2018","14,048.01","14,100.31","14,134.99","14,045.83","46.98M","-0.18%"
