"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 20, 2019","12,887.47","12,967.19","13,000.30","12,887.47","52.27M","-0.07%"
"Jun 19, 2019","12,896.22","12,853.35","12,901.75","12,821.78","40.46M","0.42%"
"Jun 18, 2019","12,841.86","12,582.45","12,842.30","12,548.64","54.34M","1.90%"
"Jun 17, 2019","12,602.25","12,636.40","12,648.46","12,577.28","31.22M","-0.07%"
"Jun 14, 2019","12,611.53","12,660.01","12,678.30","12,581.52","38.56M","-0.65%"
"Jun 13, 2019","12,694.53","12,670.36","12,732.83","12,658.93","35.90M","0.16%"
"Jun 12, 2019","12,674.86","12,664.98","12,681.06","12,613.40","41.69M","-0.33%"
"Jun 11, 2019","12,716.77","12,681.20","12,774.92","12,674.65","53.48M","0.35%"
"Jun 10, 2019","12,671.96","12,663.58","12,696.68","12,640.08","28.89M","0.50%"
"Jun 07, 2019","12,608.74","12,475.38","12,616.36","12,475.38","41.16M","1.36%"
"Jun 06, 2019","12,439.97","12,523.27","12,569.80","12,412.54","40.86M","-0.71%"
"Jun 05, 2019","12,529.26","12,420.45","12,565.35","12,420.45","49.58M","1.13%"
"Jun 04, 2019","12,389.02","12,238.47","12,404.07","12,210.29","54.00M","0.57%"
"Jun 03, 2019","12,319.27","12,289.22","12,319.27","12,199.86","40.98M","-0.31%"
"May 31, 2019","12,357.68","12,255.91","12,360.67","12,229.16","44.07M","-0.43%"
"May 30, 2019","12,410.69","12,373.63","12,418.10","12,359.24","26.69M","0.72%"
"May 29, 2019","12,321.41","12,435.74","12,442.71","12,298.51","44.51M","-1.61%"
"May 28, 2019","12,523.64","12,541.50","12,578.47","12,509.24","71.94M","0.14%"
"May 27, 2019","12,505.59","12,529.79","12,562.69","12,482.62","26.56M","0.12%"
"May 24, 2019","12,490.74","12,472.37","12,553.63","12,469.93","42.19M","0.51%"
"May 23, 2019","12,427.48","12,600.09","12,600.09","12,416.37","51.82M","-2.06%"
"May 22, 2019","12,689.33","12,693.99","12,762.22","12,645.01","42.63M","-0.13%"
"May 21, 2019","12,705.70","12,640.55","12,728.51","12,609.45","33.76M","0.77%"
"May 20, 2019","12,609.09","12,787.90","12,792.47","12,572.63","39.60M","-1.54%"
"May 17, 2019","12,806.58","12,842.02","12,849.66","12,750.39","55.02M","-0.44%"
"May 16, 2019","12,862.92","12,711.67","12,863.00","12,705.25","39.05M","1.24%"
"May 15, 2019","12,705.85","12,719.98","12,724.70","12,562.63","58.77M","0.12%"
"May 14, 2019","12,690.10","12,513.39","12,690.13","12,509.77","46.01M","1.54%"
"May 13, 2019","12,498.15","12,701.37","12,707.06","12,471.71","46.61M","-1.85%"
"May 10, 2019","12,733.90","12,783.32","12,830.37","12,717.65","35.72M","0.30%"
"May 09, 2019","12,695.84","12,906.65","12,909.24","12,673.13","45.07M","-2.28%"
"May 08, 2019","12,991.52","12,925.21","13,009.34","12,916.99","40.86M","0.27%"
"May 07, 2019","12,956.95","13,065.04","13,119.84","12,921.54","58.56M","-0.85%"
"May 06, 2019","13,067.48","12,980.57","13,067.48","12,930.45","57.98M","-1.12%"
"May 03, 2019","13,215.29","13,216.11","13,234.26","13,197.13","49.91M","-0.05%"
"May 02, 2019","13,222.16","13,237.33","13,243.91","13,175.48","69.83M","-0.40%"
"Apr 30, 2019","13,275.42","13,257.84","13,340.14","13,251.15","72.88M","0.00%"
"Apr 29, 2019","13,274.95","13,239.58","13,299.95","13,210.64","47.27M","0.46%"
"Apr 26, 2019","13,214.14","13,131.24","13,218.19","13,120.16","59.11M","0.58%"
"Apr 25, 2019","13,137.58","13,271.27","13,271.27","13,118.50","54.75M","-1.09%"
"Apr 24, 2019","13,283.00","13,270.82","13,313.91","13,250.23","56.96M","0.04%"
"Apr 23, 2019","13,277.78","13,195.84","13,278.01","13,166.83","59.13M","0.72%"
"Apr 18, 2019","13,183.39","13,183.20","13,207.49","13,108.26","47.13M","0.14%"
"Apr 17, 2019","13,165.18","13,153.55","13,187.84","13,137.00","68.75M","0.05%"
"Apr 16, 2019","13,158.54","13,111.84","13,164.29","13,092.28","47.43M","0.42%"
"Apr 15, 2019","13,103.42","13,095.87","13,142.64","13,090.27","45.80M","0.42%"
