"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2019","3,150.90","3,117.18","3,152.86","3,116.87","-","1.62%"
"Feb 28, 2019","3,100.71","3,077.09","3,102.36","3,063.62","-","0.36%"
"Feb 27, 2019","3,089.60","3,118.89","3,118.89","3,087.54","-","-0.96%"
"Feb 26, 2019","3,119.56","3,122.12","3,126.67","3,108.68","-","-0.22%"
"Feb 25, 2019","3,126.46","3,126.53","3,136.35","3,124.62","-","0.27%"
"Feb 22, 2019","3,117.99","3,116.32","3,122.35","3,105.91","-","0.09%"
"Feb 21, 2019","3,115.15","3,141.98","3,141.98","3,106.30","-","-0.56%"
"Feb 20, 2019","3,132.58","3,150.64","3,153.19","3,129.90","-","-0.43%"
"Feb 19, 2019","3,146.14","3,138.57","3,151.69","3,128.03","-","0.20%"
"Feb 18, 2019","3,139.87","3,127.71","3,140.85","3,123.13","-","0.60%"
"Feb 15, 2019","3,121.10","3,086.16","3,126.04","3,074.46","-","1.01%"
"Feb 14, 2019","3,089.96","3,093.61","3,109.93","3,081.91","-","0.37%"
"Feb 13, 2019","3,078.52","3,064.32","3,088.94","3,064.32","-","1.02%"
"Feb 12, 2019","3,047.46","3,042.17","3,063.32","3,040.83","-","0.85%"
"Feb 11, 2019","3,021.91","2,998.94","3,027.35","2,998.94","-","1.17%"
"Feb 08, 2019","2,986.90","3,011.91","3,020.68","2,973.43","-","-1.25%"
"Feb 07, 2019","3,024.69","3,086.82","3,087.35","3,024.69","-","-2.22%"
"Feb 06, 2019","3,093.39","3,083.42","3,102.85","3,076.07","-","0.48%"
"Feb 05, 2019","3,078.76","3,034.52","3,078.76","3,023.31","-","1.66%"
"Feb 04, 2019","3,028.41","3,006.99","3,028.41","3,006.41","-","0.89%"
"Feb 01, 2019","3,001.77","3,019.01","3,040.48","2,995.91","-","-0.33%"
"Jan 31, 2019","3,011.64","3,029.04","3,032.78","2,994.90","-","-0.18%"
"Jan 30, 2019","3,016.93","3,018.50","3,024.26","3,001.47","-","0.17%"
"Jan 29, 2019","3,011.67","2,987.62","3,025.58","2,976.88","-","0.69%"
"Jan 28, 2019","2,990.98","3,026.30","3,031.22","2,984.32","-","-1.18%"
"Jan 25, 2019","3,026.65","3,008.64","3,034.54","3,006.95","-","1.22%"
"Jan 24, 2019","2,990.21","2,982.92","3,008.84","2,979.25","-","0.44%"
"Jan 23, 2019","2,977.16","2,937.08","2,985.85","2,927.35","-","0.77%"
"Jan 22, 2019","2,954.27","2,973.34","2,984.78","2,944.90","-","-0.74%"
"Jan 21, 2019","2,976.26","2,960.29","2,980.69","2,954.59","-","0.67%"
"Jan 18, 2019","2,956.47","2,918.68","2,958.74","2,917.79","-","1.82%"
"Jan 17, 2019","2,903.58","2,899.11","2,910.35","2,890.08","-","-0.33%"
"Jan 16, 2019","2,913.18","2,895.96","2,920.38","2,893.40","-","0.97%"
"Jan 15, 2019","2,885.10","2,882.13","2,894.93","2,866.60","-","0.81%"
"Jan 14, 2019","2,861.98","2,895.03","2,896.38","2,856.82","-","-1.70%"
"Jan 11, 2019","2,911.53","2,937.44","2,937.47","2,906.65","-","-0.44%"
"Jan 10, 2019","2,924.50","2,929.40","2,934.58","2,903.76","-","-0.62%"
"Jan 09, 2019","2,942.76","2,943.59","2,964.94","2,933.07","-","0.69%"
"Jan 08, 2019","2,922.52","2,909.05","2,942.39","2,896.29","-","0.51%"
"Jan 07, 2019","2,907.56","2,873.08","2,908.10","2,867.96","-","1.88%"
"Jan 04, 2019","2,853.99","2,783.73","2,856.12","2,779.48","-","3.35%"
"Jan 03, 2019","2,761.57","2,802.75","2,802.75","2,750.76","-","-2.12%"
"Jan 02, 2019","2,821.30","2,795.14","2,836.42","2,769.93","-","0.67%"
"Dec 28, 2018","2,802.48","2,762.59","2,805.15","2,762.59","-","1.84%"
"Dec 27, 2018","2,751.94","2,780.31","2,814.90","2,727.92","-","-1.00%"
"Dec 21, 2018","2,779.64","2,762.37","2,788.91","2,759.32","-","0.03%"
"Dec 20, 2018","2,778.72","2,822.50","2,826.33","2,778.60","-","-2.44%"
"Dec 19, 2018","2,848.35","2,838.90","2,854.29","2,824.55","-","0.14%"
"Dec 18, 2018","2,844.32","2,856.22","2,867.69","2,828.84","-","-0.85%"
"Dec 17, 2018","2,868.71","2,900.18","2,900.98","2,846.13","-","-1.12%"
"Dec 14, 2018","2,901.07","2,919.51","2,919.51","2,885.59","-","-1.35%"
"Dec 13, 2018","2,940.68","2,969.81","2,973.58","2,936.79","-","-0.80%"
"Dec 12, 2018","2,964.33","2,919.54","2,966.69","2,904.30","-","2.06%"
"Dec 11, 2018","2,904.49","2,870.41","2,921.20","2,870.41","-","1.75%"
"Dec 10, 2018","2,854.64","2,897.59","2,905.40","2,851.40","-","-2.17%"
"Dec 07, 2018","2,917.96","2,928.57","2,959.77","2,917.44","-","0.13%"
"Dec 06, 2018","2,914.29","2,971.91","2,971.91","2,905.78","-","-2.67%"
"Dec 05, 2018","2,994.11","3,027.73","3,027.73","2,992.49","-","-1.58%"
"Dec 04, 2018","3,042.33","3,065.56","3,070.95","3,041.74","-","-0.99%"
"Dec 03, 2018","3,072.78","3,017.23","3,101.77","3,016.22","-","2.02%"
"Nov 30, 2018","3,012.08","3,046.20","3,046.96","3,010.08","-","-0.92%"
"Nov 29, 2018","3,040.07","3,016.29","3,061.59","3,016.29","-","1.43%"
"Nov 28, 2018","2,997.17","2,984.71","3,008.68","2,983.39","-","0.63%"
"Nov 27, 2018","2,978.47","2,989.62","2,999.85","2,952.90","-","-0.37%"
"Nov 26, 2018","2,989.48","2,966.41","2,990.65","2,956.18","-","1.17%"
"Nov 23, 2018","2,955.01","2,908.93","2,955.63","2,906.78","-","1.53%"
"Nov 22, 2018","2,910.62","2,929.62","2,933.51","2,910.55","-","-0.76%"
"Nov 21, 2018","2,932.79","2,904.10","2,935.89","2,888.70","-","1.65%"
"Nov 20, 2018","2,885.21","2,925.37","2,925.37","2,843.33","-","-1.98%"
"Nov 19, 2018","2,943.47","2,989.84","3,017.30","2,943.34","-","-1.23%"
"Nov 16, 2018","2,980.12","2,984.89","3,010.76","2,960.43","-","0.29%"
"Nov 15, 2018","2,971.62","3,019.31","3,023.27","2,951.82","-","-1.23%"
"Nov 14, 2018","3,008.67","3,012.85","3,056.13","2,966.36","-","-0.73%"
"Nov 13, 2018","3,030.90","3,023.20","3,055.24","2,999.86","-","0.43%"
"Nov 12, 2018","3,017.84","3,129.28","3,137.71","3,017.84","-","-3.18%"
"Nov 09, 2018","3,116.84","3,133.34","3,136.68","3,101.64","-","-1.03%"
"Nov 08, 2018","3,149.32","3,173.74","3,192.23","3,140.88","-","-0.34%"
"Nov 07, 2018","3,160.13","3,136.04","3,171.06","3,134.01","-","1.12%"
"Nov 06, 2018","3,125.12","3,126.63","3,136.34","3,108.20","-","0.19%"
"Nov 05, 2018","3,119.12","3,146.00","3,151.21","3,105.10","-","-0.53%"
"Nov 02, 2018","3,135.78","3,122.17","3,195.13","3,121.37","-","0.75%"
"Nov 01, 2018","3,112.32","3,048.97","3,112.46","3,044.83","-","2.01%"
"Oct 31, 2018","3,050.88","2,979.02","3,067.79","2,979.02","-","2.56%"
"Oct 30, 2018","2,974.66","2,960.52","2,992.68","2,934.40","-","0.92%"
"Oct 29, 2018","2,947.40","2,890.94","2,980.69","2,890.94","-","2.08%"
"Oct 26, 2018","2,887.37","2,921.56","2,921.56","2,857.74","-","-1.52%"
"Oct 25, 2018","2,932.00","2,908.88","2,946.16","2,864.30","-","0.53%"
"Oct 24, 2018","2,916.42","2,950.46","2,975.82","2,916.30","-","-0.88%"
"Oct 23, 2018","2,942.21","3,027.22","3,027.22","2,936.48","-","-3.22%"
"Oct 22, 2018","3,040.05","3,068.91","3,078.81","3,033.54","-","-0.69%"
"Oct 19, 2018","3,061.04","3,087.97","3,100.83","3,038.66","-","-0.76%"
"Oct 18, 2018","3,084.61","3,077.06","3,112.68","3,069.62","-","0.40%"
"Oct 17, 2018","3,072.20","3,080.03","3,118.56","3,061.21","-","0.05%"
"Oct 16, 2018","3,070.53","2,964.72","3,070.53","2,961.41","-","3.91%"
"Oct 15, 2018","2,954.98","2,959.88","2,967.32","2,940.31","-","-0.32%"
"Oct 12, 2018","2,964.57","2,922.62","2,983.50","2,922.62","-","1.52%"
"Oct 11, 2018","2,920.24","2,932.53","2,960.10","2,889.83","-","-0.49%"
"Oct 10, 2018","2,934.52","3,042.16","3,045.15","2,934.52","-","-3.38%"
"Oct 09, 2018","3,037.28","3,048.49","3,051.84","2,999.15","-","-0.36%"
"Oct 08, 2018","3,048.31","3,125.55","3,127.36","3,048.31","-","-2.95%"
"Oct 05, 2018","3,140.98","3,222.04","3,222.04","3,137.85","-","-2.73%"
"Oct 04, 2018","3,229.00","3,289.85","3,295.77","3,228.87","-","-1.91%"
"Oct 02, 2018","3,291.89","3,297.05","3,302.95","3,270.18","-","-0.53%"
"Oct 01, 2018","3,309.46","3,275.84","3,314.01","3,275.84","-","1.30%"
"Sep 28, 2018","3,267.05","3,281.06","3,297.52","3,252.57","-","-0.33%"
"Sep 27, 2018","3,278.01","3,295.30","3,297.07","3,268.59","-","-0.82%"
"Sep 26, 2018","3,305.01","3,317.95","3,317.99","3,294.32","-","-0.22%"
"Sep 25, 2018","3,312.19","3,285.51","3,315.84","3,285.51","-","0.92%"
"Sep 24, 2018","3,282.04","3,302.73","3,304.81","3,281.96","-","-0.67%"
"Sep 21, 2018","3,304.07","3,313.45","3,328.13","3,299.43","-","-0.07%"
"Sep 20, 2018","3,306.24","3,355.10","3,355.69","3,275.11","-","-1.68%"
"Sep 19, 2018","3,362.63","3,403.29","3,413.26","3,361.57","-","-1.25%"
"Sep 18, 2018","3,405.26","3,397.01","3,405.67","3,366.71","-","0.07%"
"Sep 17, 2018","3,403.00","3,415.03","3,415.39","3,388.75","-","-0.24%"
"Sep 14, 2018","3,411.20","3,368.34","3,411.77","3,366.72","-","1.52%"
"Sep 13, 2018","3,359.98","3,402.25","3,416.49","3,359.97","-","-0.96%"
"Sep 12, 2018","3,392.58","3,397.89","3,422.23","3,379.15","-","-0.00%"
"Sep 11, 2018","3,392.61","3,413.00","3,420.51","3,381.31","-","-0.23%"
"Sep 10, 2018","3,400.51","3,426.90","3,426.90","3,378.97","-","-0.50%"
"Sep 07, 2018","3,417.49","3,384.21","3,418.08","3,383.97","-","1.00%"
"Sep 06, 2018","3,383.69","3,404.16","3,425.59","3,368.75","-","-0.39%"
"Sep 05, 2018","3,396.97","3,494.21","3,508.80","3,396.80","-","-2.66%"
"Sep 04, 2018","3,489.69","3,551.97","3,558.97","3,482.08","-","-1.16%"
"Sep 03, 2018","3,530.57","3,509.76","3,544.46","3,509.07","-","0.59%"
"Aug 31, 2018","3,509.77","3,507.13","3,514.00","3,492.76","-","-0.19%"
"Aug 30, 2018","3,516.42","3,536.23","3,538.19","3,494.36","-","-0.47%"
"Aug 29, 2018","3,533.07","3,524.09","3,540.88","3,513.62","-","0.38%"
"Aug 28, 2018","3,519.76","3,537.98","3,540.96","3,505.83","-","-0.16%"
"Aug 27, 2018","3,525.33","3,487.21","3,525.58","3,487.21","-","1.65%"
"Aug 24, 2018","3,467.94","3,451.94","3,468.41","3,446.46","-","0.70%"
"Aug 23, 2018","3,443.90","3,413.41","3,448.50","3,409.38","-","1.11%"
"Aug 22, 2018","3,406.19","3,396.79","3,421.55","3,390.98","-","0.33%"
"Aug 21, 2018","3,395.01","3,401.11","3,415.37","3,385.97","-","0.02%"
"Aug 20, 2018","3,394.18","3,353.14","3,403.60","3,352.94","-","1.45%"
"Aug 17, 2018","3,345.75","3,357.23","3,368.98","3,335.59","-","-0.18%"
"Aug 16, 2018","3,351.70","3,279.75","3,362.41","3,278.66","-","2.35%"
"Aug 15, 2018","3,274.82","3,374.81","3,375.29","3,267.69","-","-2.77%"
"Aug 14, 2018","3,367.96","3,393.52","3,394.87","3,361.45","-","-0.50%"
"Aug 13, 2018","3,384.93","3,350.16","3,390.12","3,350.16","-","0.47%"
"Aug 10, 2018","3,369.17","3,379.56","3,389.52","3,351.65","-","-0.80%"
"Aug 09, 2018","3,396.45","3,375.49","3,401.63","3,375.21","-","0.62%"
"Aug 08, 2018","3,375.45","3,376.45","3,391.47","3,364.17","-","0.04%"
"Aug 07, 2018","3,374.26","3,393.87","3,405.40","3,371.67","-","-0.42%"
"Aug 06, 2018","3,388.37","3,381.31","3,410.76","3,371.16","-","0.54%"
"Aug 03, 2018","3,370.19","3,339.77","3,382.57","3,333.60","-","1.27%"
"Aug 02, 2018","3,327.93","3,323.64","3,335.77","3,307.37","-","-0.40%"
"Aug 01, 2018","3,341.41","3,338.47","3,370.63","3,336.93","-","0.23%"
"Jul 31, 2018","3,333.66","3,368.35","3,368.35","3,324.34","-","-0.80%"
"Jul 30, 2018","3,360.48","3,395.80","3,395.80","3,359.87","-","-1.15%"
"Jul 27, 2018","3,399.54","3,388.27","3,418.12","3,387.91","-","0.47%"
"Jul 26, 2018","3,383.50","3,369.35","3,394.44","3,369.11","-","0.79%"
"Jul 25, 2018","3,357.06","3,345.80","3,370.56","3,327.15","-","0.13%"
"Jul 24, 2018","3,352.62","3,341.58","3,377.71","3,340.33","-","0.63%"
"Jul 23, 2018","3,331.67","3,310.88","3,331.88","3,303.74","-","0.44%"
"Jul 20, 2018","3,317.01","3,305.14","3,340.48","3,294.70","-","0.34%"
"Jul 19, 2018","3,305.62","3,316.97","3,319.07","3,293.68","-","-0.25%"
"Jul 18, 2018","3,313.99","3,302.70","3,322.75","3,302.70","-","0.93%"
"Jul 17, 2018","3,283.51","3,271.68","3,290.00","3,243.38","-","0.27%"
"Jul 16, 2018","3,274.51","3,249.74","3,276.15","3,248.78","-","0.65%"
"Jul 13, 2018","3,253.35","3,270.09","3,270.89","3,245.15","-","-0.15%"
"Jul 12, 2018","3,258.20","3,238.50","3,259.62","3,234.15","-","1.21%"
"Jul 11, 2018","3,219.26","3,209.33","3,228.00","3,199.35","-","-0.61%"
"Jul 10, 2018","3,239.09","3,212.62","3,240.98","3,210.58","-","1.22%"
"Jul 09, 2018","3,200.05","3,197.40","3,212.35","3,196.35","-","0.62%"
"Jul 06, 2018","3,180.28","3,178.75","3,183.84","3,164.24","-","0.65%"
"Jul 05, 2018","3,159.63","3,113.27","3,160.55","3,113.27","-","1.73%"
"Jul 04, 2018","3,106.05","3,106.08","3,112.75","3,088.63","-","-0.17%"
"Jul 03, 2018","3,111.20","3,080.28","3,121.01","3,080.28","-","1.28%"
"Jul 02, 2018","3,071.81","3,095.11","3,095.14","3,050.49","-","-0.95%"
"Jun 29, 2018","3,101.27","3,061.12","3,114.29","3,061.12","-","1.68%"
"Jun 28, 2018","3,049.91","3,127.20","3,149.45","3,015.26","-","-2.93%"
"Jun 27, 2018","3,141.89","3,161.80","3,161.80","3,101.34","-","-0.59%"
"Jun 26, 2018","3,160.49","3,146.41","3,178.13","3,143.25","-","0.68%"
"Jun 25, 2018","3,139.21","3,217.53","3,218.33","3,139.21","-","-2.63%"
"Jun 22, 2018","3,223.98","3,222.66","3,233.60","3,206.95","-","0.10%"
"Jun 21, 2018","3,220.90","3,270.22","3,274.86","3,213.07","-","-1.03%"
"Jun 20, 2018","3,254.27","3,237.20","3,273.07","3,237.20","-","1.24%"
"Jun 19, 2018","3,214.35","3,254.46","3,255.28","3,192.70","-","-1.61%"
"Jun 18, 2018","3,267.10","3,276.97","3,287.57","3,255.59","-","-0.48%"
"Jun 15, 2018","3,282.93","3,369.53","3,379.39","3,275.19","-","-2.58%"
"Jun 14, 2018","3,369.88","3,310.05","3,371.01","3,310.05","-","1.37%"
"Jun 13, 2018","3,324.37","3,295.95","3,329.84","3,295.95","-","1.21%"
"Jun 12, 2018","3,284.67","3,274.46","3,293.23","3,267.64","-","0.84%"
