"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 20, 2019","3,359.77","3,356.97","3,389.08","3,356.97","-","0.65%"
"Jun 19, 2019","3,337.97","3,336.52","3,340.66","3,317.12","-","0.16%"
"Jun 18, 2019","3,332.80","3,271.69","3,334.66","3,243.09","-","1.81%"
"Jun 17, 2019","3,273.70","3,287.99","3,290.08","3,259.40","-","-0.31%"
"Jun 14, 2019","3,283.72","3,332.91","3,332.91","3,274.59","-","-1.81%"
"Jun 13, 2019","3,344.13","3,325.90","3,361.04","3,325.90","-","0.71%"
"Jun 12, 2019","3,320.54","3,303.44","3,325.94","3,299.59","-","0.25%"
"Jun 11, 2019","3,312.29","3,273.89","3,339.45","3,273.89","-","1.34%"
"Jun 07, 2019","3,268.47","3,250.91","3,279.58","3,247.93","-","0.85%"
"Jun 06, 2019","3,240.81","3,251.52","3,273.10","3,235.29","-","-0.10%"
"Jun 05, 2019","3,243.90","3,220.60","3,266.76","3,219.52","-","0.81%"
"Jun 04, 2019","3,217.75","3,203.87","3,221.77","3,183.45","-","-0.01%"
"Jun 03, 2019","3,218.01","3,218.95","3,219.54","3,181.64","-","-0.23%"
"May 31, 2019","3,225.35","3,251.05","3,251.05","3,187.90","-","-1.14%"
"May 30, 2019","3,262.52","3,241.81","3,264.39","3,241.81","-","0.82%"
"May 29, 2019","3,236.09","3,317.10","3,317.97","3,235.49","-","-2.82%"
"May 28, 2019","3,330.03","3,309.42","3,330.15","3,303.91","-","0.48%"
"May 27, 2019","3,314.28","3,314.12","3,334.32","3,308.20","-","0.25%"
"May 24, 2019","3,306.14","3,313.72","3,329.15","3,305.44","-","0.14%"
"May 23, 2019","3,301.65","3,362.73","3,362.73","3,301.59","-","-2.18%"
"May 22, 2019","3,375.21","3,347.09","3,390.79","3,343.36","-","0.73%"
"May 21, 2019","3,350.76","3,334.70","3,356.86","3,334.04","-","0.80%"
"May 20, 2019","3,324.01","3,366.70","3,370.37","3,315.61","-","-1.26%"
"May 17, 2019","3,366.43","3,369.30","3,371.72","3,343.18","-","-0.33%"
"May 16, 2019","3,377.60","3,306.97","3,377.60","3,306.36","-","2.05%"
"May 15, 2019","3,309.76","3,317.24","3,324.21","3,271.00","-","0.07%"
"May 14, 2019","3,307.32","3,233.45","3,307.32","3,233.45","-","2.32%"
"May 13, 2019","3,232.24","3,323.17","3,323.17","3,222.08","-","-2.59%"
"May 10, 2019","3,318.10","3,288.23","3,333.64","3,288.23","-","1.41%"
"May 09, 2019","3,271.95","3,358.44","3,358.44","3,269.76","-","-2.60%"
"May 08, 2019","3,359.25","3,329.27","3,363.87","3,329.27","-","0.86%"
"May 07, 2019","3,330.74","3,372.78","3,394.49","3,325.75","-","-0.92%"
"May 06, 2019","3,361.77","3,399.40","3,399.64","3,319.07","-","-1.18%"
"May 03, 2019","3,401.93","3,380.24","3,402.06","3,380.24","-","0.65%"
"May 02, 2019","3,379.92","3,414.00","3,416.20","3,374.18","-","-0.87%"
"Apr 30, 2019","3,409.52","3,411.26","3,428.71","3,408.47","-","-0.09%"
"Apr 29, 2019","3,412.54","3,402.56","3,414.77","3,397.46","-","0.59%"
"Apr 26, 2019","3,392.55","3,369.13","3,394.61","3,369.13","-","0.68%"
"Apr 25, 2019","3,369.76","3,389.28","3,389.52","3,365.64","-","-0.32%"
"Apr 24, 2019","3,380.55","3,376.98","3,395.66","3,374.35","-","0.11%"
"Apr 23, 2019","3,376.74","3,347.05","3,377.54","3,341.76","-","1.23%"
"Apr 18, 2019","3,335.64","3,349.89","3,358.05","3,324.13","-","-0.63%"
"Apr 17, 2019","3,356.80","3,389.48","3,389.81","3,355.46","-","-0.96%"
"Apr 16, 2019","3,389.24","3,377.79","3,390.52","3,371.48","-","0.65%"
"Apr 15, 2019","3,367.47","3,341.32","3,369.42","3,340.24","-","0.96%"
"Apr 12, 2019","3,335.43","3,317.52","3,338.17","3,306.60","-","0.66%"
"Apr 11, 2019","3,313.66","3,324.94","3,328.30","3,301.62","-","-0.28%"
"Apr 10, 2019","3,322.92","3,327.05","3,336.45","3,310.55","-","-0.25%"
"Apr 09, 2019","3,331.34","3,344.86","3,360.61","3,331.25","-","-0.56%"
"Apr 08, 2019","3,350.07","3,352.92","3,358.84","3,340.23","-","-0.21%"
"Apr 05, 2019","3,356.98","3,336.93","3,359.54","3,336.93","-","0.52%"
"Apr 04, 2019","3,339.49","3,353.03","3,363.62","3,336.50","-","-0.67%"
"Apr 03, 2019","3,361.87","3,309.06","3,361.87","3,309.06","-","2.07%"
"Apr 02, 2019","3,293.77","3,291.54","3,296.74","3,281.19","-","0.31%"
"Apr 01, 2019","3,283.69","3,229.08","3,286.36","3,229.08","-","2.20%"
"Mar 29, 2019","3,213.11","3,186.32","3,213.50","3,174.99","-","1.18%"
"Mar 28, 2019","3,175.74","3,188.20","3,197.91","3,166.58","-","-0.36%"
"Mar 27, 2019","3,187.07","3,227.06","3,232.70","3,174.67","-","-1.04%"
"Mar 26, 2019","3,220.59","3,188.20","3,221.94","3,179.53","-","1.29%"
"Mar 25, 2019","3,179.59","3,172.37","3,191.23","3,159.83","-","-0.35%"
"Mar 22, 2019","3,190.82","3,239.95","3,253.34","3,188.85","-","-1.16%"
"Mar 21, 2019","3,228.30","3,219.32","3,234.22","3,191.00","-","0.24%"
"Mar 20, 2019","3,220.44","3,238.84","3,257.11","3,220.44","-","-0.67%"
"Mar 19, 2019","3,242.06","3,206.17","3,246.10","3,206.17","-","1.33%"
"Mar 18, 2019","3,199.59","3,217.98","3,228.00","3,190.42","-","-0.25%"
"Mar 15, 2019","3,207.73","3,190.93","3,216.46","3,186.99","-","0.67%"
"Mar 14, 2019","3,186.48","3,184.61","3,191.08","3,173.78","-","0.16%"
"Mar 13, 2019","3,181.29","3,158.35","3,181.42","3,151.58","-","0.65%"
"Mar 12, 2019","3,160.80","3,169.88","3,176.73","3,160.34","-","0.08%"
"Mar 11, 2019","3,158.30","3,132.94","3,158.30","3,120.46","-","1.30%"
"Mar 08, 2019","3,117.62","3,123.05","3,123.05","3,104.00","-","-0.53%"
"Mar 07, 2019","3,134.13","3,162.80","3,162.80","3,118.90","-","-0.91%"
"Mar 06, 2019","3,162.80","3,178.48","3,188.55","3,161.40","-","-0.57%"
"Mar 05, 2019","3,181.06","3,172.24","3,183.75","3,159.47","-","0.25%"
"Mar 04, 2019","3,173.11","3,173.84","3,188.14","3,171.72","-","0.70%"
