"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 20, 2019","26,753.17","26,665.38","26,798.63","26,539.69","278.17M","0.94%"
"Jun 19, 2019","26,504.00","26,490.16","26,569.75","26,415.05","240.95M","0.15%"
"Jun 18, 2019","26,465.54","26,228.88","26,527.19","26,227.76","273.49M","1.35%"
"Jun 17, 2019","26,112.53","26,108.53","26,165.78","26,049.80","199.50M","0.09%"
"Jun 14, 2019","26,089.61","26,076.36","26,162.28","25,988.09","208.02M","-0.07%"
"Jun 13, 2019","26,106.77","26,036.94","26,146.91","25,995.71","213.40M","0.39%"
"Jun 12, 2019","26,004.83","26,040.30","26,082.10","25,958.66","223.69M","-0.17%"
"Jun 11, 2019","26,048.51","26,180.59","26,248.67","25,998.87","253.49M","-0.05%"
"Jun 10, 2019","26,062.68","26,090.22","26,210.61","26,054.31","249.28M","0.30%"
"Jun 07, 2019","25,983.94","25,768.72","26,072.75","25,768.72","263.01M","1.02%"
"Jun 06, 2019","25,720.66","25,567.45","25,800.30","25,518.05","248.07M","0.71%"
"Jun 05, 2019","25,539.57","25,451.00","25,544.66","25,373.58","262.66M","0.82%"
"Jun 04, 2019","25,332.18","24,962.82","25,343.77","24,962.82","281.69M","2.06%"
"Jun 03, 2019","24,819.78","24,830.16","24,935.21","24,680.57","328.24M","0.02%"
"May 31, 2019","24,815.04","25,046.31","25,046.31","24,809.51","292.23M","-1.41%"
"May 30, 2019","25,169.88","25,139.94","25,218.54","25,066.75","215.24M","0.17%"
"May 29, 2019","25,126.41","25,231.46","25,231.46","24,938.24","298.93M","-0.87%"
"May 28, 2019","25,347.77","25,616.55","25,717.63","25,342.28","364.85M","-0.93%"
"May 24, 2019","25,585.69","25,551.07","25,670.81","25,496.20","201.37M","0.37%"
"May 23, 2019","25,490.47","25,657.99","25,657.99","25,328.09","316.94M","-1.11%"
"May 22, 2019","25,776.61","25,818.46","25,878.21","25,755.11","241.76M","-0.39%"
"May 21, 2019","25,877.33","25,782.34","25,898.27","25,779.61","260.87M","0.77%"
"May 20, 2019","25,679.90","25,655.31","25,751.71","25,560.55","279.56M","-0.33%"
"May 17, 2019","25,764.00","25,719.95","25,948.74","25,657.78","283.76M","-0.38%"
"May 16, 2019","25,862.68","25,692.14","25,957.63","25,692.14","320.96M","0.84%"
