"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2019","41,327.11","41,327.11","41,327.11","41,327.11","-","0.17%"
"Feb 28, 2019","41,257.08","41,257.08","41,257.08","41,257.08","-","0.78%"
"Feb 27, 2019","40,936.21","40,936.21","40,936.21","40,936.21","-","0.19%"
"Feb 26, 2019","40,857.93","40,857.93","40,857.93","40,857.93","-","0.11%"
"Feb 25, 2019","40,812.73","40,812.73","40,812.73","40,812.73","-","0.86%"
"Feb 22, 2019","40,464.36","40,464.36","40,464.36","40,464.36","-","0.26%"
"Feb 21, 2019","40,358.94","40,358.94","40,358.94","40,358.94","-","-0.47%"
"Feb 20, 2019","40,547.64","40,547.64","40,547.64","40,547.64","-","0.38%"
"Feb 19, 2019","40,395.83","40,395.83","40,395.83","40,395.83","-","-0.50%"
"Feb 18, 2019","40,598.80","40,598.80","40,598.80","40,598.80","-","0.58%"
"Feb 15, 2019","40,364.18","40,364.18","40,364.18","40,364.18","-","1.90%"
"Feb 14, 2019","39,610.54","39,610.54","39,610.54","39,610.54","-","-0.78%"
"Feb 13, 2019","39,919.97","39,919.97","39,919.97","39,919.97","-","0.93%"
"Feb 12, 2019","39,551.27","39,551.27","39,551.27","39,551.27","-","1.12%"
"Feb 11, 2019","39,114.49","39,114.49","39,114.49","39,114.49","-","1.21%"
"Feb 08, 2019","38,645.87","38,645.87","38,645.87","38,645.87","-","-0.65%"
"Feb 07, 2019","38,898.33","38,898.33","38,898.33","38,898.33","-","-2.59%"
"Feb 06, 2019","39,933.09","39,933.09","39,933.09","39,933.09","-","0.82%"
"Feb 05, 2019","39,607.62","39,607.62","39,607.62","39,607.62","-","1.16%"
"Feb 04, 2019","39,152.52","39,152.52","39,152.52","39,152.52","-","0.15%"
"Feb 01, 2019","39,094.95","39,094.95","39,094.95","39,094.95","-","-0.78%"
"Jan 31, 2019","39,402.50","39,402.50","39,402.50","39,402.50","-","-0.21%"
"Jan 30, 2019","39,483.91","39,483.91","39,483.91","39,483.91","-","0.36%"
"Jan 29, 2019","39,344.22","39,344.22","39,344.22","39,344.22","-","0.48%"
"Jan 28, 2019","39,157.57","39,157.57","39,157.57","39,157.57","-","-1.02%"
"Jan 25, 2019","39,561.73","39,561.73","39,561.73","39,561.73","-","1.26%"
"Jan 24, 2019","39,070.40","39,070.40","39,070.40","39,070.40","-","0.85%"
"Jan 23, 2019","38,742.23","38,742.23","38,742.23","38,742.23","-","-0.19%"
