"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 20, 2019","43,807.49","43,807.49","43,807.49","43,807.49","-","0.66%"
"Jun 19, 2019","43,520.25","43,520.25","43,520.25","43,520.25","-","0.41%"
"Jun 18, 2019","43,340.61","43,340.61","43,340.61","43,340.61","-","2.46%"
"Jun 17, 2019","42,300.12","42,300.12","42,300.12","42,300.12","-","0.08%"
"Jun 14, 2019","42,267.02","42,267.02","42,267.02","42,267.02","-","-0.09%"
"Jun 13, 2019","42,304.55","42,304.55","42,304.55","42,304.55","-","0.82%"
"Jun 12, 2019","41,961.08","41,961.08","41,961.08","41,961.08","-","-0.71%"
"Jun 11, 2019","42,261.39","42,261.39","42,261.39","42,261.39","-","0.61%"
"Jun 10, 2019","42,005.65","42,005.65","42,005.65","42,005.65","-","0.61%"
"Jun 07, 2019","41,750.58","41,750.58","41,750.58","41,750.58","-","0.91%"
"Jun 06, 2019","41,375.77","41,375.77","41,375.77","41,375.77","-","0.11%"
"Jun 05, 2019","41,330.49","41,330.49","41,330.49","41,330.49","-","-0.36%"
"Jun 04, 2019","41,481.60","41,481.60","41,481.60","41,481.60","-","1.79%"
"Jun 03, 2019","40,753.28","40,753.28","40,753.28","40,753.28","-","0.36%"
"May 31, 2019","40,605.38","40,605.38","40,605.38","40,605.38","-","-0.73%"
"May 30, 2019","40,904.36","40,904.36","40,904.36","40,904.36","-","-0.26%"
"May 29, 2019","41,011.04","41,011.04","41,011.04","41,011.04","-","-1.29%"
"May 28, 2019","41,546.32","41,546.32","41,546.32","41,546.32","-","-0.50%"
"May 27, 2019","41,755.79","41,755.79","41,755.79","41,755.79","-","-0.06%"
"May 24, 2019","41,782.24","41,782.24","41,782.24","41,782.24","-","1.19%"
"May 23, 2019","41,290.84","41,290.84","41,290.84","41,290.84","-","-2.12%"
"May 22, 2019","42,186.76","42,186.76","42,186.76","42,186.76","-","-0.61%"
"May 21, 2019","42,443.69","42,443.69","42,443.69","42,443.69","-","0.77%"
"May 20, 2019","42,118.19","42,118.19","42,118.19","42,118.19","-","-0.61%"
"May 17, 2019","42,377.56","42,377.56","42,377.56","42,377.56","-","-0.22%"
"May 16, 2019","42,470.96","42,470.96","42,470.96","42,470.96","-","1.38%"
"May 15, 2019","41,891.36","41,891.36","41,891.36","41,891.36","-","-0.14%"
"May 14, 2019","41,950.64","41,950.64","41,950.64","41,950.64","-","1.45%"
"May 13, 2019","41,350.38","41,350.38","41,350.38","41,350.38","-","-1.35%"
"May 10, 2019","41,914.74","41,914.74","41,914.74","41,914.74","-","0.28%"
"May 09, 2019","41,799.04","41,799.04","41,799.04","41,799.04","-","-1.82%"
"May 08, 2019","42,575.50","42,575.50","42,575.50","42,575.50","-","-0.07%"
"May 07, 2019","42,606.18","42,606.18","42,606.18","42,606.18","-","-0.89%"
"May 06, 2019","42,987.98","42,987.98","42,987.98","42,987.98","-","-1.63%"
"May 03, 2019","43,699.16","43,699.16","43,699.16","43,699.16","-","0.24%"
