"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 20, 2019","13,669.97","13,219.20","13,720.10","13,218.21","-","3.41%"
"Jun 19, 2019","13,219.20","13,054.51","13,383.75","13,054.51","-","1.26%"
"Jun 18, 2019","13,054.51","12,990.04","13,073.44","12,950.13","-","0.50%"
"Jun 17, 2019","12,990.04","12,975.72","13,096.92","12,959.09","-","0.11%"
"Jun 14, 2019","12,975.72","13,027.14","13,129.63","12,956.00","-","-0.39%"
"Jun 13, 2019","13,027.14","13,058.69","13,076.31","12,911.49","-","-0.24%"
"Jun 12, 2019","13,058.69","13,147.55","13,147.55","13,024.34","-","-0.68%"
"Jun 11, 2019","13,147.55","12,825.65","13,168.45","12,814.21","-","2.51%"
"Jun 10, 2019","12,825.65","12,622.15","12,873.51","12,622.15","-","1.61%"
"Jun 07, 2019","12,622.15","12,622.15","12,622.15","12,622.15","-","0.00%"
"Jun 06, 2019","12,622.15","12,679.34","12,714.03","12,588.39","-","-0.55%"
"Jun 05, 2019","12,691.81","12,664.62","12,807.45","12,664.62","-","0.21%"
"Jun 04, 2019","12,664.62","12,776.40","12,801.65","12,626.19","-","-0.87%"
"Jun 03, 2019","12,776.40","12,722.47","12,882.11","12,689.09","-","0.42%"
"May 31, 2019","12,722.47","12,794.15","12,883.95","12,722.47","-","-0.56%"
"May 30, 2019","12,794.15","12,861.70","12,861.70","12,696.14","-","-0.53%"
"May 29, 2019","12,861.70","12,854.29","12,977.11","12,722.47","-","0.06%"
"May 28, 2019","12,854.29","12,716.78","12,901.44","12,683.83","-","1.08%"
"May 27, 2019","12,716.78","12,635.06","12,762.20","12,456.42","-","0.65%"
"May 24, 2019","12,635.06","12,537.47","12,729.07","12,533.62","-","0.78%"
"May 23, 2019","12,537.47","12,761.45","12,761.45","12,513.21","-","-1.76%"
"May 22, 2019","12,761.45","12,831.82","12,862.86","12,717.14","-","-0.55%"
"May 21, 2019","12,831.82","12,726.14","12,956.40","12,699.30","-","0.83%"
"May 20, 2019","12,726.14","12,817.62","12,868.73","12,637.10","-","-0.71%"
"May 17, 2019","12,817.62","13,065.73","13,074.89","12,780.88","-","-1.90%"
"May 16, 2019","13,065.73","13,040.83","13,093.42","12,959.79","-","0.19%"
"May 15, 2019","13,040.83","12,722.12","13,102.48","12,722.12","-","2.51%"
"May 14, 2019","12,722.12","12,797.68","12,866.90","12,677.77","-","-0.59%"
"May 13, 2019","12,797.68","13,006.13","13,006.13","12,745.13","-","-1.60%"
"May 10, 2019","13,006.13","12,549.95","13,028.24","12,549.95","-","3.63%"
"May 09, 2019","12,549.95","12,823.40","12,823.40","12,473.25","-","-2.13%"
"May 08, 2019","12,823.40","13,051.85","13,051.85","12,794.52","-","-1.75%"
"May 07, 2019","13,051.85","12,985.20","13,154.81","12,911.57","-","0.51%"
"May 06, 2019","12,985.20","13,662.98","13,662.98","12,844.76","-","-4.96%"
"Apr 30, 2019","13,662.98","13,659.62","13,737.28","13,541.48","-","0.02%"
"Apr 29, 2019","13,659.62","13,413.76","13,791.49","13,408.41","-","1.83%"
"Apr 26, 2019","13,413.76","13,590.52","13,596.94","13,409.80","-","-1.30%"
"Apr 25, 2019","13,590.52","13,813.44","13,813.50","13,565.27","-","-1.61%"
"Apr 24, 2019","13,813.44","13,834.84","13,947.12","13,621.20","-","-0.15%"
"Apr 23, 2019","13,834.84","13,785.60","13,955.34","13,746.71","-","0.36%"
"Apr 22, 2019","13,785.60","14,169.02","14,179.36","13,753.22","-","-2.71%"
"Apr 19, 2019","14,169.02","13,940.17","14,169.02","13,868.24","-","1.64%"
"Apr 18, 2019","13,940.17","13,987.39","14,009.24","13,874.60","-","-0.34%"
"Apr 17, 2019","13,987.39","14,026.56","14,061.26","13,888.23","-","-0.28%"
"Apr 16, 2019","14,026.56","13,572.26","14,026.56","13,481.04","-","3.35%"
"Apr 15, 2019","13,572.26","13,520.09","13,930.67","13,520.09","-","0.39%"
"Apr 12, 2019","13,520.09","13,570.37","13,589.21","13,426.55","-","-0.37%"
"Apr 11, 2019","13,570.37","13,835.67","13,911.46","13,521.20","-","-1.92%"
"Apr 10, 2019","13,835.67","13,760.21","13,915.17","13,638.34","-","0.55%"
"Apr 09, 2019","13,760.21","13,649.02","13,786.61","13,641.87","-","0.81%"
"Apr 08, 2019","13,649.02","13,610.36","13,855.52","13,545.72","-","0.28%"
"Apr 04, 2019","13,610.36","13,447.63","13,646.12","13,447.25","-","1.21%"
"Apr 03, 2019","13,447.63","13,325.67","13,466.22","13,225.07","-","0.92%"
"Apr 02, 2019","13,325.67","13,353.45","13,398.29","13,271.78","-","-0.21%"
"Apr 01, 2019","13,353.45","13,094.88","13,405.34","13,094.69","-","1.97%"
"Mar 29, 2019","13,094.88","12,598.19","13,118.09","12,598.10","-","3.94%"
"Mar 28, 2019","12,598.19","12,623.23","12,644.06","12,479.22","-","-0.20%"
"Mar 27, 2019","12,623.23","12,441.19","12,678.96","12,441.19","-","1.46%"
"Mar 26, 2019","12,441.19","12,460.16","12,567.19","12,379.34","-","-0.15%"
"Mar 25, 2019","12,460.16","12,835.38","12,835.38","12,451.63","-","-2.92%"
"Mar 22, 2019","12,835.38","12,862.07","12,918.91","12,707.57","-","-0.21%"
"Mar 21, 2019","12,862.07","12,924.56","12,953.54","12,850.87","-","-0.48%"
"Mar 20, 2019","12,924.56","12,903.60","13,003.06","12,802.28","-","0.16%"
"Mar 19, 2019","12,903.60","12,996.48","13,064.60","12,857.12","-","-0.71%"
"Mar 18, 2019","12,996.48","12,651.86","12,997.36","12,623.04","-","2.72%"
"Mar 15, 2019","12,651.86","12,510.00","12,776.31","12,510.00","-","1.13%"
"Mar 14, 2019","12,510.00","12,471.26","12,622.30","12,449.86","-","0.31%"
"Mar 13, 2019","12,471.26","12,450.12","12,576.47","12,355.32","-","0.17%"
"Mar 12, 2019","12,450.12","12,414.46","12,623.62","12,378.89","-","0.29%"
"Mar 11, 2019","12,414.46","12,298.11","12,433.51","12,225.49","-","0.95%"
"Mar 08, 2019","12,298.11","12,738.28","12,738.28","12,287.90","-","-3.46%"
"Mar 07, 2019","12,738.28","13,005.02","13,005.02","12,665.49","-","-2.05%"
"Mar 06, 2019","13,005.02","12,960.37","13,041.06","12,824.24","-","0.34%"
"Mar 05, 2019","12,960.37","12,976.06","13,005.52","12,879.01","-","-0.12%"
"Mar 04, 2019","12,976.06","12,879.60","13,305.95","12,879.60","-","0.75%"
