"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2019","13,890.30","13,834.90","13,952.50","13,820.60","12.28M","0.51%"
"Feb 28, 2019","13,819.50","13,755.70","13,819.50","13,683.40","11.71M","0.20%"
"Feb 27, 2019","13,791.50","13,749.60","13,805.50","13,713.20","9.30M","0.17%"
"Feb 26, 2019","13,767.60","13,854.50","13,854.50","13,711.90","24.06M","-0.80%"
"Feb 25, 2019","13,879.20","13,914.30","13,916.40","13,840.30","19.39M","0.00%"
"Feb 22, 2019","13,878.60","13,753.50","13,922.60","13,733.00","48.56M","0.83%"
"Feb 21, 2019","13,764.30","13,768.20","13,818.10","13,744.20","6.52M","0.04%"
"Feb 20, 2019","13,758.90","13,653.00","13,778.30","13,635.50","6.52M","0.81%"
"Feb 19, 2019","13,648.50","13,723.80","13,734.60","13,643.80","5.43M","-0.59%"
"Feb 18, 2019","13,729.50","13,641.20","13,747.60","13,624.70","5.95M","0.69%"
"Feb 15, 2019","13,635.80","13,559.40","13,650.70","13,501.20","11.41M","0.50%"
"Feb 14, 2019","13,567.70","13,559.30","13,626.40","13,533.60","11.15M","0.39%"
"Feb 13, 2019","13,515.00","13,605.40","13,630.00","13,515.00","9.41M","-0.57%"
"Feb 12, 2019","13,592.90","13,612.10","13,650.20","13,585.60","6.84M","0.26%"
"Feb 11, 2019","13,558.10","13,512.00","13,577.10","13,474.20","7.59M","0.74%"
"Feb 08, 2019","13,459.10","13,550.60","13,550.60","13,443.90","7.12M","-0.80%"
"Feb 07, 2019","13,567.80","13,723.20","13,723.20","13,543.60","9.21M","-1.29%"
"Feb 06, 2019","13,745.60","13,684.10","13,776.00","13,658.60","7.56M","0.32%"
"Feb 05, 2019","13,702.40","13,636.60","13,714.60","13,604.80","11.18M","0.86%"
"Feb 04, 2019","13,585.50","13,560.00","13,598.80","13,528.30","7.80M","0.18%"
"Feb 01, 2019","13,561.00","13,627.10","13,644.50","13,541.90","11.79M","-0.32%"
"Jan 31, 2019","13,604.60","13,609.50","13,659.80","13,521.40","14.11M","0.52%"
"Jan 30, 2019","13,534.70","13,639.80","13,669.20","13,524.90","7.14M","-0.66%"
"Jan 29, 2019","13,624.50","13,614.80","13,649.50","13,573.50","8.22M","-0.13%"
"Jan 28, 2019","13,642.10","13,767.50","13,775.30","13,620.80","9.05M","-0.73%"
"Jan 25, 2019","13,742.80","13,709.50","13,788.10","13,690.30","10.17M","0.63%"
"Jan 24, 2019","13,657.20","13,672.10","13,731.10","13,599.80","9.16M","0.41%"
"Jan 23, 2019","13,601.30","13,493.30","13,651.50","13,464.70","7.32M","0.45%"
"Jan 22, 2019","13,539.80","13,538.10","13,619.30","13,516.10","7.68M","-0.15%"
"Jan 21, 2019","13,560.20","13,558.30","13,583.30","13,517.40","6.03M","0.32%"
"Jan 18, 2019","13,517.60","13,487.10","13,579.80","13,487.10","10.33M","0.63%"
"Jan 17, 2019","13,432.90","13,488.90","13,508.80","13,427.70","11.73M","-0.32%"
"Jan 16, 2019","13,475.70","13,435.00","13,487.10","13,388.00","11.16M","0.27%"
"Jan 15, 2019","13,439.30","13,453.40","13,521.30","13,389.10","6.44M","0.23%"
"Jan 14, 2019","13,408.10","13,441.60","13,471.40","13,379.80","6.60M","-0.67%"
"Jan 11, 2019","13,498.60","13,592.40","13,629.50","13,469.00","11.94M","-0.58%"
"Jan 10, 2019","13,576.70","13,504.20","13,598.90","13,434.00","8.83M","0.36%"
"Jan 09, 2019","13,528.10","13,458.50","13,567.00","13,458.50","10.85M","0.84%"
"Jan 08, 2019","13,414.90","13,266.60","13,448.80","13,266.60","8.98M","1.45%"
"Jan 07, 2019","13,223.40","13,197.40","13,242.50","13,135.50","6.62M","0.51%"
"Jan 04, 2019","13,155.70","12,973.50","13,170.80","12,973.20","8.04M","1.56%"
"Jan 03, 2019","12,953.30","12,930.40","12,986.70","12,892.50","5.84M","0.04%"
"Jan 02, 2019","12,947.80","12,928.10","12,973.20","12,766.50","8.03M","-0.36%"
