"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 20, 2019","13,329.80","13,411.60","13,415.90","13,326.00","13.56M","0.06%"
"Jun 19, 2019","13,321.70","13,359.60","13,359.60","13,280.20","9.63M","-0.06%"
"Jun 18, 2019","13,329.20","13,266.60","13,350.00","13,114.10","15.35M","0.52%"
"Jun 17, 2019","13,260.70","13,409.90","13,413.20","13,260.70","11.77M","-1.04%"
"Jun 14, 2019","13,399.90","13,513.60","13,514.10","13,354.90","13.74M","-0.57%"
"Jun 13, 2019","13,476.80","13,453.60","13,550.90","13,440.60","18.08M","0.20%"
"Jun 12, 2019","13,449.50","13,497.30","13,497.30","13,424.90","14.37M","-0.21%"
"Jun 11, 2019","13,477.70","13,454.50","13,539.70","13,452.10","16.80M","-0.06%"
"Jun 10, 2019","13,485.20","13,466.00","13,526.20","13,453.70","10.60M","0.67%"
"Jun 07, 2019","13,394.90","13,316.30","13,413.00","13,311.40","15.97M","0.80%"
"Jun 06, 2019","13,288.60","13,291.80","13,335.30","13,250.30","14.92M","0.09%"
"Jun 05, 2019","13,276.40","13,238.50","13,357.00","13,238.50","14.20M","0.28%"
"Jun 04, 2019","13,239.50","13,146.10","13,239.50","13,120.70","16.88M","0.62%"
"Jun 03, 2019","13,158.00","13,288.70","13,290.50","13,109.70","20.08M","-1.46%"
"May 31, 2019","13,352.80","13,333.40","13,361.20","13,270.90","13.28M","-0.64%"
"May 30, 2019","13,438.40","13,352.70","13,439.20","13,321.40","9.50M","1.02%"
"May 29, 2019","13,303.00","13,406.20","13,406.80","13,282.30","12.94M","-1.16%"
"May 28, 2019","13,459.50","13,428.80","13,460.50","13,382.00","33.99M","0.56%"
"May 27, 2019","13,384.10","13,406.60","13,447.30","13,379.50","9.11M","-0.02%"
"May 24, 2019","13,386.80","13,397.50","13,456.90","13,363.00","9.05M","0.16%"
"May 23, 2019","13,365.90","13,573.10","13,575.40","13,365.90","12.20M","-1.52%"
"May 22, 2019","13,572.60","13,543.20","13,597.30","13,508.00","8.06M","0.25%"
"May 21, 2019","13,539.40","13,520.60","13,551.00","13,470.30","12.83M","0.34%"
"May 20, 2019","13,493.20","13,609.20","13,613.80","13,457.60","8.69M","-0.84%"
"May 17, 2019","13,608.00","13,564.30","13,615.30","13,525.30","11.07M","-0.23%"
"May 16, 2019","13,638.70","13,566.80","13,647.90","13,532.90","17.74M","0.72%"
"May 15, 2019","13,541.80","13,535.40","13,580.50","13,425.70","15.76M","0.10%"
"May 14, 2019","13,527.90","13,471.50","13,555.40","13,453.30","9.30M","0.51%"
"May 13, 2019","13,459.20","13,631.50","13,631.50","13,458.10","9.35M","-0.54%"
