"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2019","6,923.40","6,814.70","6,925.80","6,811.40","28.29M","1.81%"
"Feb 28, 2019","6,800.20","6,782.30","6,802.10","6,737.00","26.22M","0.19%"
"Feb 27, 2019","6,787.10","6,828.60","6,829.00","6,773.20","30.66M","-0.44%"
"Feb 26, 2019","6,816.80","6,807.30","6,819.10","6,784.60","19.96M","0.10%"
"Feb 25, 2019","6,810.20","6,850.20","6,870.70","6,804.80","18.72M","-0.36%"
"Feb 22, 2019","6,835.10","6,815.20","6,860.80","6,805.00","13.66M","-0.07%"
"Feb 21, 2019","6,840.00","6,903.00","6,907.50","6,831.40","14.11M","-0.63%"
"Feb 20, 2019","6,883.70","6,838.10","6,894.70","6,835.20","15.33M","0.91%"
"Feb 19, 2019","6,821.60","6,842.30","6,854.60","6,790.30","14.29M","0.04%"
"Feb 18, 2019","6,819.00","6,768.70","6,822.50","6,763.90","20.09M","1.12%"
"Feb 15, 2019","6,743.70","6,694.20","6,763.10","6,668.90","23.76M","0.98%"
"Feb 14, 2019","6,678.50","6,673.60","6,692.90","6,657.40","22.29M","0.27%"
"Feb 13, 2019","6,660.20","6,709.90","6,721.70","6,651.40","16.40M","-0.57%"
"Feb 12, 2019","6,698.50","6,758.50","6,764.30","6,690.00","23.27M","0.05%"
"Feb 11, 2019","6,695.20","6,689.40","6,753.90","6,667.10","19.32M","0.27%"
"Feb 08, 2019","6,677.10","6,705.00","6,736.80","6,643.30","32.57M","-0.91%"
"Feb 07, 2019","6,738.70","6,829.60","6,833.60","6,731.00","34.75M","-1.38%"
"Feb 06, 2019","6,833.00","6,791.60","6,839.20","6,788.40","32.31M","0.68%"
"Feb 05, 2019","6,786.90","6,699.70","6,787.30","6,689.80","72.71M","2.43%"
"Feb 04, 2019","6,626.00","6,668.90","6,680.80","6,599.20","17.06M","-0.23%"
"Feb 01, 2019","6,641.20","6,694.10","6,694.10","6,591.90","20.16M","-0.35%"
"Jan 31, 2019","6,664.60","6,724.10","6,744.80","6,617.80","25.30M","-0.32%"
"Jan 30, 2019","6,685.90","6,723.00","6,738.50","6,658.70","18.63M","-0.67%"
"Jan 29, 2019","6,730.70","6,717.60","6,765.90","6,706.90","27.86M","0.08%"
"Jan 28, 2019","6,725.30","6,704.80","6,739.50","6,701.70","22.83M","0.80%"
"Jan 25, 2019","6,671.90","6,695.90","6,708.30","6,671.90","20.91M","0.14%"
"Jan 24, 2019","6,662.60","6,670.40","6,710.20","6,637.00","27.04M","0.56%"
"Jan 23, 2019","6,625.20","6,544.10","6,625.20","6,542.40","24.50M","0.97%"
"Jan 22, 2019","6,561.40","6,599.20","6,600.80","6,556.30","14.31M","-0.53%"
"Jan 21, 2019","6,596.10","6,541.70","6,600.20","6,521.80","21.08M","1.12%"
