"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 20, 2019","6,550.40","6,575.80","6,592.90","6,543.50","8.65M","0.05%"
"Jun 19, 2019","6,547.10","6,599.00","6,604.50","6,546.50","8.52M","-0.29%"
"Jun 18, 2019","6,566.10","6,549.20","6,586.40","6,489.40","10.07M","-0.14%"
"Jun 17, 2019","6,575.30","6,659.00","6,668.90","6,575.30","10.20M","-0.92%"
"Jun 14, 2019","6,636.10","6,692.60","6,699.10","6,635.40","6.62M","-0.61%"
"Jun 13, 2019","6,676.80","6,689.90","6,692.90","6,659.40","7.58M","-0.03%"
"Jun 12, 2019","6,678.50","6,688.30","6,703.10","6,664.80","6.05M","-0.28%"
"Jun 11, 2019","6,697.30","6,672.40","6,719.20","6,668.30","9.35M","0.48%"
"Jun 10, 2019","6,665.40","6,644.60","6,686.50","6,633.30","8.83M","0.77%"
"Jun 07, 2019","6,614.50","6,578.90","6,633.20","6,576.10","6.94M","0.75%"
"Jun 06, 2019","6,565.20","6,591.70","6,620.00","6,561.60","6.42M","-0.12%"
"Jun 05, 2019","6,573.00","6,573.50","6,593.50","6,551.70","7.51M","0.42%"
"Jun 04, 2019","6,545.20","6,509.30","6,590.20","6,496.20","8.79M","0.14%"
"Jun 03, 2019","6,536.20","6,641.40","6,641.40","6,474.20","14.36M","-1.78%"
"May 31, 2019","6,654.70","6,640.20","6,668.00","6,585.30","7.59M","0.01%"
"May 30, 2019","6,653.80","6,626.50","6,668.40","6,623.00","8.65M","0.40%"
"May 29, 2019","6,627.30","6,666.80","6,667.60","6,590.80","9.25M","-0.86%"
"May 28, 2019","6,684.60","6,718.20","6,736.30","6,656.10","13.84M","-0.24%"
"May 27, 2019","6,700.90","6,718.20","6,743.70","6,683.60","7.27M","0.21%"
"May 24, 2019","6,686.60","6,676.10","6,721.80","6,664.10","7.75M","0.42%"
"May 23, 2019","6,658.80","6,738.40","6,741.10","6,655.10","9.72M","-1.49%"
"May 22, 2019","6,759.40","6,762.80","6,789.60","6,741.40","8.68M","0.27%"
"May 21, 2019","6,740.90","6,736.90","6,766.30","6,706.60","9.94M","-0.02%"
"May 20, 2019","6,742.20","6,819.10","6,831.80","6,726.20","9.18M","-0.67%"
